name,x,y,label,filterlab
A2PAN,-0.9151222,7.090076,0,
A2PANO,1.6204177,2.528807,107,
A2PANOO,2.6441765,2.7341838,100,
ACBUOAOOH,4.703834,1.92241,89,
ACBUONANO3,4.421152,-0.945191,73,
ACBUONAOH,4.4117475,-0.8988917,73,
ACBUONBOH,4.4117475,-0.8988917,73,
ACBUONBOOH,-0.26058787,-0.63552153,31,
ACBUONEAO,0.8297602,-2.0147657,55,
ACBUONEAO2,6.8252034,-2.5099235,133,
ACBUONEBO,0.8297602,-2.0147657,55,
ACBUONEBO2,2.7881389,-5.0372024,135,
ACCOC3H6O,0.8297602,-2.0147657,55,
ACCOC3H6O2,4.4117475,-0.8988917,73,
ACCOCOC2H5,1.0694873,-2.3005235,53,
ACCOCOEOOH,-0.26058787,-0.63552153,31,
ACCOCOETO,0.8297602,-2.0147657,55,
ACCOCOETO2,2.7881389,-5.0372024,135,
ACCOCOMEO,0.8297602,-2.0147657,55,
ACCOCOMEO2,2.7881389,-5.0372024,135,
ACCOCOMOOH,-0.26058787,-0.63552153,31,
ACCOETO,1.0694873,-2.3005235,53,
ACCOETO2,6.8252034,-2.5099235,133,
ACCOETOOH,-0.26058787,-0.63552153,31,
ACCOMCOMO,0.8297602,-2.0147657,55,
ACCOMCOMO2,2.7881389,-5.0372024,135,
ACCOMECHO,-2.831658,-4.302328,-1,
ACCOMECO3,1.0028683,-2.2857897,53,
ACCOMECO3H,1.0287346,-2.3869267,54,
ACCOMEPAN,-3.4841323,-2.2848063,110,
ACCOPRONE,1.0694873,-2.3005235,53,
ACCOPROOH,1.0694873,-2.3005235,53,
ACEBUTBONE,1.4296602,-2.7640653,68,
ACEBUTONE,1.4296602,-2.7640653,68,
ACEC2CHO,-2.9897556,-4.8185377,129,
ACEC2H4NO3,-4.289334,4.428125,13,
ACEC2H4OOH,-2.2615643,0.85667837,18,
ACECOCOCH3,1.0694873,-2.3005235,53,
ACEETOHO,1.6204177,2.528807,107,
ACEETOHO2,4.4908557,2.8827772,91,
ACEETOHOOH,3.7870696,4.2208276,95,
ACEPROPONE,0.14371206,-2.0133617,66,
ACETC2CO2H,4.1642594,-1.8108684,72,
ACETC2CO3,3.211634,-5.5813704,136,
ACETC2CO3H,-0.12550227,-0.5203804,30,
ACETC2H4O,-1.469939,0.50974274,24,
ACETC2H4O2,4.4908557,2.8827772,91,
ACETC2PAN,-3.1428814,-4.7735057,129,
ACETCOC2H5,1.0694873,-2.3005235,53,
ACETCOC3H7,1.0694873,-2.3005235,53,
ACETETCHO,-2.9897556,-4.8185377,129,
ACETMECO3,-1.4374753,0.5116631,23,
ACETMECO3H,-1.5273422,0.5394821,27,
ACETMEPAN,-3.1428814,-4.7735057,129,
ACETOL,5.313519,0.7427499,82,
ACLOO,2.6067383,2.7296805,102,
ACLOOA,2.6067383,2.7296805,102,
ACO2H,5.313519,0.7427499,82,
ACO3,2.7881389,-5.0372024,135,
ACO3H,-0.5484162,-1.0960714,32,
ACOMCOMOOH,-0.26058787,-0.63552153,31,
ACPRONEO,0.3222121,-1.7526737,67,
ACPRONEO2,2.7881389,-5.0372024,135,
ACPRONEOH,5.313519,0.7427499,82,
ACPRONEOOH,-0.26058787,-0.63552153,31,
ACR,-4.7257857,-1.1390717,114,
ACRO2,-0.05355604,0.43291685,42,
ACROO,-1.3662337,0.5303147,22,
ACROOA,-1.3662337,0.5303147,22,
ACRPAN,-4.5122724,4.8265567,14,
ALC4DOLOOH,-1.02471,1.6713384,37,
ALCOCH2OOH,-2.1818275,-2.0413063,109,
ALCOMOXOOH,-3.9376626,-2.5098367,-1,
ALLYLOH,2.71809,2.7971847,99,
APINANO3,2.71809,2.7971847,99,
APINAO,1.6204177,2.528807,107,
APINAO2,4.4908557,2.8827772,91,
APINAOOH,3.7870696,4.2208276,95,
APINBCO,-0.23523454,1.3080183,40,
APINBNO3,2.71809,2.7971847,99,
APINBO,2.71809,2.7971847,99,
APINBO2,4.4908557,2.8827772,91,
APINBOH,2.71809,2.7971847,99,
APINBOO,0.2478437,-1.9670495,64,
APINBOOH,3.7870696,4.2208276,95,
APINCNO3,2.71809,2.7971847,99,
APINCO,1.6204177,2.528807,107,
APINCO2,4.4908557,2.8827772,91,
APINCOH,2.71809,2.7971847,99,
APINCOOH,3.7870696,4.2208276,95,
APINENE,-1.469939,0.50974274,24,
APINOOA,-4.7257857,-1.1390717,114,
APINOOB,0.2478437,-1.9670495,64,
BCAL,-2.419621,-3.4224422,128,
BCALACO,-2.419621,-3.4224422,128,
BCALAO,-3.0485387,-3.38766,120,
BCALAO2,-0.90941,-3.951662,130,
BCALAOH,1.3656753,-1.361356,49,
BCALAOOH,-2.1818275,-2.0413063,109,
BCALBCO,-2.419621,-3.4224422,128,
BCALBO,-3.0485387,-3.38766,120,
BCALBO2,2.0727084,-2.2015388,50,
BCALBOC,-4.7257857,-1.1390717,114,
BCALBOH,1.3656753,-1.361356,49,
BCALBOOH,-2.1818275,-2.0413063,109,
BCALCCO,-2.419621,-3.4224422,128,
BCALCO,-3.0485387,-3.38766,120,
BCALCO2,0.6491052,-2.8943605,69,
BCALCOH,1.3656753,-1.361356,49,
BCALCOOH,-0.5484162,-1.0960714,32,
BCALNO3,1.4963945,-1.5491076,47,
BCALO,1.5860075,-0.9604062,44,
BCALO2,2.0727084,-2.2015388,50,
BCALOH,1.3656753,-1.361356,49,
BCALOO,-2.419621,-3.4224422,128,
BCALOOA,-2.419621,-3.4224422,128,
BCALOOH,0.68332803,-0.49037465,35,
BCANO3,2.71809,2.7971847,99,
BCAO,2.71809,2.7971847,99,
BCAO2,4.4908557,2.8827772,91,
BCAOH,2.71809,2.7971847,99,
BCAOO,-4.7257857,-1.1390717,114,
BCAOOH,3.7870696,4.2208276,95,
BCARY,-1.469939,0.50974274,24,
BCBCO,5.313519,0.7427499,82,
BCBNO3,2.71809,2.7971847,99,
BCBO,1.6204177,2.528807,107,
BCBO2,4.4908557,2.8827772,91,
BCBOCOO,-4.7257857,-1.1390717,114,
BCBOO,0.2478437,-1.9670495,64,
BCBOOA,-4.7257857,-1.1390717,114,
BCBOOH,3.7870696,4.2208276,95,
BCCNO3,-0.36311996,6.7963567,2,
BCCO,1.6204177,2.528807,107,
BCCO2,4.4908557,2.8827772,91,
BCCOH,2.71809,2.7971847,99,
BCCOOH,3.7870696,4.2208276,95,
BCKANO3,5.313519,0.7427499,82,
BCKAO,-0.23523454,1.3080183,40,
BCKAO2,7.0526633,0.42546114,85,
BCKAOH,-0.23523454,1.3080183,40,
BCKAOO,-2.419621,-3.4224422,128,
BCKAOOH,5.7188983,2.1436846,88,
BCKBCO,1.3656753,-1.361356,49,
BCKBNO3,5.313519,0.7427499,82,
BCKBO,-0.09954034,1.6366397,41,
BCKBO2,7.0526633,0.42546114,85,
BCKBOO,0.2478437,-1.9670495,64,
BCKBOOH,5.7188983,2.1436846,88,
BCKET,0.14371206,-2.0133617,66,
BCKOOA,-2.419621,-3.4224422,128,
BCKOOB,0.2478437,-1.9670495,64,
BCKSOZ,-0.23523454,1.3080183,40,
BCKSZOO,2.6067383,2.7296805,102,
BCLKACO,-2.419621,-3.4224422,128,
BCLKAO,-3.0485387,-3.38766,120,
BCLKAO2,-0.90941,-3.951662,130,
BCLKAOH,1.3656753,-1.361356,49,
BCLKAOOH,-2.1818275,-2.0413063,109,
BCLKBCO,-2.419621,-3.4224422,128,
BCLKBO,-3.0485387,-3.38766,120,
BCLKBO2,2.0727084,-2.2015388,50,
BCLKBOC,-2.419621,-3.4224422,128,
BCLKBOH,1.3656753,-1.361356,49,
BCLKBOOH,-2.1818275,-2.0413063,109,
BCLKCCO,-2.419621,-3.4224422,128,
BCLKCO,-3.0485387,-3.38766,120,
BCLKCO2,0.6491052,-2.8943605,69,
BCLKCOH,1.3656753,-1.361356,49,
BCLKCOOH,-0.5484162,-1.0960714,32,
BCLKET,-2.419621,-3.4224422,128,
BCOOA,-4.7257857,-1.1390717,114,
BCOOB,0.2478437,-1.9670495,64,
BCSOZ,2.71809,2.7971847,99,
BCSOZNO3,-0.36311996,6.7963567,2,
BCSOZO,1.6204177,2.528807,107,
BCSOZO2,4.4908557,2.8827772,91,
BCSOZOH,2.71809,2.7971847,99,
BCSOZOOH,3.7870696,4.2208276,95,
BENZAL,-4.822754,-1.2559118,112,
BENZENE,-1.3631295,0.47588566,25,
BIACET,0.14371206,-2.0133617,66,
BIACETO,0.3222121,-1.7526737,67,
BIACETO2,7.0526633,0.42546114,85,
BIACETOH,5.313519,0.7427499,82,
BIACETOOH,-0.5484162,-1.0960714,32,
BOCOCH2OOH,-2.2615643,0.85667837,18,
BOX2COMOH,4.1642594,-1.8108684,72,
BOX2COMOOH,-0.26058787,-0.63552153,31,
BOX2E2OH,2.0543563,2.3968236,105,
BOX2ECHO,-5.215746,-1.4467312,118,
BOX2EOHAO,1.6204177,2.528807,107,
BOX2EOHAO2,4.4908557,2.8827772,91,
BOX2EOHBO,1.2610475,2.2437892,108,
BOX2EOHBO2,2.0543563,2.3968236,105,
BOX2MO,-1.3550614,0.53172183,21,
BOX2MO2,3.9248,2.4970806,92,
BOX2OHAOOH,3.7870696,4.2208276,95,
BOX2OHBOOH,2.0543563,2.3968236,105,
BOX2PROL,2.0543563,2.3968236,105,
BOXCHO,-5.215746,-1.4467312,118,
BOXCOALOOH,1.0694873,-2.3005235,53,
BOXCOCHO,-2.9897556,-4.8185377,129,
BOXCOCHOO,-3.126265,-3.940021,122,
BOXCOCHOO2,1.0694873,-2.3005235,53,
BOXCOCOME,1.4296602,-2.7640653,68,
BOXCOCOMO,0.8297602,-2.0147657,55,
BOXCOCOMO2,2.7881389,-5.0372024,135,
BOXCOEOL,4.1642594,-1.8108684,72,
BOXCOEOLO,3.5160768,-1.1067543,72,
BOXCOEOLO2,6.8252034,-2.5099235,133,
BOXCOOLOOH,4.703834,1.92241,89,
BOXEOHANO3,-1.1545222,6.2450686,3,
BOXEOHBNO3,-1.1545222,6.2450686,3,
BOXFORMO2,-3.5673897,-1.3509995,111,
BOXMCO2H,-1.3238659,0.6495209,-1,
BOXMCO3,-1.3137083,0.5737151,-1,
BOXMCO3H,-1.360053,0.5615786,22,
BOXMOH,2.0543563,2.3968236,105,
BOXMOOH,-2.0476923,0.7659666,18,
BOXMPAN,-4.403899,4.991163,14,
BOXOHETOH,2.71809,2.7971847,99,
BOXOHPROL,2.71809,2.7971847,99,
BOXPOLANO3,-0.36311996,6.7963567,2,
BOXPOLAOOH,3.7870696,4.2208276,95,
BOXPOLBNO3,-1.1545222,6.2450686,3,
BOXPOLBOOH,3.1099424,3.8947592,97,
BOXPR2OH,2.0543563,2.3968236,105,
BOXPROANO3,5.797911,0.8476337,84,
BOXPROBOOH,-0.6617164,-1.1388135,33,
BOXPROLAO,1.6204177,2.528807,107,
BOXPROLAO2,4.4908557,2.8827772,91,
BOXPROLBO,1.2610475,2.2437892,108,
BOXPROLBO2,3.9248,2.4970806,92,
BOXPRONAO2,0.6491052,-2.8943605,69,
BOXPRONBO,0.643069,-1.7263716,67,
BOXPRONBO2,1.034708,-3.5141888,70,
BOXPRONBOH,4.6115446,0.045630604,75,
BOXPRONE,0.528926,-2.0738413,57,
BOXPRONEAO,0.3222121,-1.7526737,67,
