name,x,y,label,filterlab
A2PAN,-3.4775453,2.079899,0,0
A2PANO,-0.66814876,-0.41091883,1,1
A2PANOO,-0.748766,-0.18448895,1,1
ACBUOAOOH,-0.8182382,-0.07725794,1,1
ACBUONANO3,-3.2359881,2.125312,0,0
ACBUONAOH,-0.728528,-0.39871052,1,1
ACBUONBOH,-0.36310655,-0.2944822,1,1
ACBUONBOOH,-0.503793,-0.026841156,1,1
ACBUONEAO,-0.50708383,-0.43832865,1,1
ACBUONEAO2,-0.6103011,-0.18623945,1,1
ACBUONEBO,-0.2418764,-0.3190785,1,1
ACBUONEBO2,-0.3787006,-0.1610226,1,1
ACCOC3H6O,-0.50708383,-0.43832865,1,1
ACCOC3H6O2,-0.6281545,-0.2635808,1,1
ACCOCOC2H5,-0.2418764,-0.3190785,1,1
ACCOCOEOOH,-0.25421995,-0.10215337,1,1
ACCOCOETO,-0.07207755,-0.32497528,1,1
ACCOCOETO2,-0.1862179,-0.20197412,1,1
ACCOCOMEO,-0.44615743,-0.3339305,1,1
ACCOCOMEO2,-0.53958637,-0.17837602,1,1
ACCOCOMOOH,-0.7744535,-0.071889766,1,1
ACCOETO,-0.75534827,-0.5227853,1,1
ACCOETO2,-0.86910546,-0.3273835,1,1
ACCOETOOH,-1.2512357,-0.17207268,1,1
ACCOMCOMO,-0.5416359,-0.3439027,1,1
ACCOMCOMO2,-0.6273195,-0.17919558,1,1
ACCOMECHO,-0.32448223,-0.4475408,1,1
ACCOMECO3,-0.46425325,-0.16851583,1,1
ACCOMECO3H,-0.6662679,-0.056491904,1,1
ACCOMEPAN,-3.0476885,2.2360613,0,0
ACCOPRONE,-0.50708383,-0.43832865,1,1
ACCOPROOH,-0.82075244,-0.16126874,1,1
ACEBUTBONE,-0.4895393,-0.5268244,1,1
ACEBUTONE,-1.0075353,-0.59290195,1,1
ACEC2CHO,-0.893271,-0.6337353,1,1
ACEC2H4NO3,-3.9645736,1.9985695,0,0
ACEC2H4OOH,-1.4298624,-0.1518015,1,1
ACECOCOCH3,-0.07207755,-0.32497528,1,1
ACEETOHO,-0.7025587,-0.37051526,1,1
ACEETOHO2,-0.7598483,-0.20423788,1,1
ACEETOHOOH,-0.8739355,-0.080508046,1,1
ACEPROPONE,-0.67869526,-0.50862557,1,1
ACETC2CO2H,-1.257009,-0.4658617,1,1
ACETC2CO3,-1.023258,-0.24760339,1,1
ACETC2CO3H,-1.3707902,-0.07916289,1,1
ACETC2H4O,-0.9497666,-0.6466617,1,1
ACETC2H4O2,-1.0452459,-0.29779872,1,1
ACETC2PAN,-3.932908,1.9976331,0,0
ACETCOC2H5,-0.2955322,-0.5355696,1,1
ACETCOC3H7,-0.6822576,-0.6293842,1,1
ACETETCHO,-0.53750205,-0.5354732,1,1
ACETMECO3,-0.664016,-0.19393098,1,1
ACETMECO3H,-0.85825783,-0.06771622,1,1
ACETMEPAN,-3.298878,2.0819526,0,0
ACETOL,-0.5825818,-0.69284296,1,1
ACLOO,-0.72735846,-0.3926749,1,1
ACLOOA,-0.72735846,-0.3926749,1,1
ACO2H,0.102157705,-0.7593318,1,1
ACO3,-0.008065201,-0.45849922,1,1
ACO3H,-0.06993521,-0.3362858,1,1
ACOMCOMOOH,-0.9781209,-0.044270508,1,1
ACPRONEO,-0.07207755,-0.32497528,1,1
ACPRONEO2,-0.1862179,-0.20197412,1,1
ACPRONEOH,-0.09979678,-0.26935276,1,1
ACPRONEOOH,-0.25421995,-0.10215337,1,1
ACR,0.23357326,-0.9450812,1,1
ACRO2,-0.6173795,-0.23851931,1,1
ACROO,0.09330865,-0.6365362,1,1
ACROOA,0.09330865,-0.6365362,1,1
ACRPAN,-2.7134302,2.3666043,0,0
ALC4DOLOOH,-1.0425205,-0.14228156,1,1
ALCOCH2OOH,-0.7678745,-0.10998347,1,1
ALCOMOXOOH,-0.7415123,-0.105349846,1,1
ALLYLOH,-0.2640644,-0.905153,1,1
APINANO3,-3.8390918,1.9193077,0,0
APINAO,-1.5806485,-0.7646215,1,1
APINAO2,-1.6501939,-0.28735486,1,1
APINAOOH,-1.7285248,-0.16636458,1,1
APINBCO,-1.2762517,-0.5571293,1,1
APINBNO3,-3.5666585,2.0511992,0,0
APINBO,-1.352827,-0.6275303,1,1
APINBO2,-1.4025005,-0.14505738,1,1
APINBOH,-1.8082795,-0.6953131,1,1
APINBOO,-1.0503322,-0.3351471,1,1
APINBOOH,-1.4865671,-0.027792677,1,1
APINCNO3,-3.362811,2.1078327,0,0
APINCO,-0.8953034,-0.80640596,1,1
APINCO2,-0.98899573,-0.4068142,1,1
APINCOH,-1.291972,-0.7826457,1,1
APINCOOH,-1.0957224,-0.2939504,1,1
APINENE,-0.8985277,-0.92347354,1,1
APINOOA,-1.0503322,-0.3351471,1,1
