name,x,y,label,filterlab
A2PAN,-0.99890065,0.11722466,0,0
A2PANO,-1.4376569,0.61062074,0,0
A2PANOO,-1.3989732,0.4869193,0,0
ACBUOAOOH,-1.9058087,0.27900138,0,0
ACBUONANO3,-1.6452563,0.046292588,0,0
ACBUONAOH,-1.9979751,0.4086518,0,0
ACBUONBOH,-1.9979751,0.4086518,0,0
ACBUONBOOH,-1.9058087,0.27900138,0,0
ACBUONEAO,-1.9795003,0.40904245,0,0
ACBUONEAO2,-1.8869514,0.2785385,0,0
ACBUONEBO,-1.9795003,0.40904245,0,0
ACBUONEBO2,-1.8869514,0.2785385,0,0
ACCOC3H6O,-1.9773595,0.4167972,0,0
ACCOC3H6O2,-1.8747447,0.28378353,0,0
ACCOCOC2H5,-1.9569533,0.44209018,0,0
ACCOCOEOOH,-1.6961827,0.19238189,0,0
ACCOCOETO,-1.7765236,0.31941417,0,0
ACCOCOETO2,-1.6764369,0.19115949,0,0
ACCOCOMEO,-1.6575553,0.39564255,0,0
ACCOCOMEO2,-1.5543525,0.27077058,0,0
ACCOCOMOOH,-1.5691183,0.27171034,0,0
ACCOETO,-1.8614554,0.49950984,0,0
ACCOETO2,-1.7669582,0.36668673,0,0
ACCOETOOH,-1.7854958,0.36982724,0,0
ACCOMCOMO,-1.858259,0.31042206,0,0
ACCOMCOMO2,-1.7592571,0.18317732,0,0
ACCOMECHO,-1.8189163,0.52055955,0,0
ACCOMECO3,-1.5756466,0.28205454,0,0
ACCOMECO3H,-1.5946872,0.28588116,0,0
ACCOMEPAN,-1.0958123,-0.08103069,0,0
ACCOPRONE,-1.9569533,0.44209018,0,0
ACCOPROOH,-1.896874,0.2877066,0,0
ACEBUTBONE,-2.1584222,0.53473103,0,0
ACEBUTONE,-2.1584222,0.53473103,0,0
ACEC2CHO,-1.9874859,0.6142577,0,0
ACEC2H4NO3,-1.4477527,0.31422368,0,0
ACEC2H4OOH,-1.741977,0.53884697,0,0
ACECOCOCH3,-1.7476792,0.52801883,0,0
ACEETOHO,-1.680249,0.54851687,0,0
ACEETOHO2,-1.5963783,0.4167553,0,0
ACEETOHOOH,-1.6089151,0.41683045,0,0
ACEPROPONE,-1.9164762,0.62728775,0,0
ACETC2CO2H,-1.8539715,0.4843258,0,0
ACETC2CO3,-1.7669582,0.36668673,0,0
ACETC2CO3H,-1.7854958,0.36982724,0,0
ACETC2H4O,-1.8034778,0.68707883,0,0
