name,x,y,label,filterlab
A2PAN,0.017053667,0.51857877,0,0
A2PANO,-0.35562983,0.93862164,0,0
A2PANOO,0.095839605,0.5734134,0,0
ACBUOAOOH,-0.50507545,0.8918302,0,0
ACBUONANO3,2.5892084,-1.1715504,-1,-1
ACBUONAOH,2.032234,-0.23898755,-1,-1
ACBUONBOH,1.3427702,0.19867316,-1,-1
ACBUONBOOH,-0.5198458,0.8717712,0,0
ACBUONEAO,1.9107386,-0.9013661,-1,-1
ACBUONEAO2,4.139562,-1.091886,-1,-1
ACBUONEBO,1.7876333,-0.87178946,-1,-1
ACBUONEBO2,4.1086574,-1.1469885,-1,-1
ACCOC3H6O,1.6574026,-0.048538342,-1,-1
ACCOC3H6O2,3.9776537,-1.1625371,-1,-1
ACCOCOC2H5,3.1364193,-0.6999935,-1,-1
ACCOCOEOOH,-0.55486643,0.9329454,0,0
ACCOCOETO,1.6395993,-0.6956221,-1,-1
ACCOCOETO2,4.1821856,-1.2863674,-1,-1
ACCOCOMEO,1.976996,-0.46452734,-1,-1
ACCOCOMEO2,4.1547117,-1.2212529,-1,-1
ACCOCOMOOH,-0.34397614,0.7575735,0,0
ACCOETO,1.3661968,0.29194987,-1,-1
ACCOETO2,3.5717103,-1.1894637,-1,-1
ACCOETOOH,-0.5187756,0.8378993,0,0
ACCOMCOMO,1.603534,-0.25723544,-1,-1
ACCOMCOMO2,4.0343537,-1.0955882,-1,-1
ACCOMECHO,-0.24848683,0.791263,0,0
ACCOMECO3,0.0682946,0.57033,0,0
ACCOMECO3H,-0.51147866,0.8915372,0,0
ACCOMEPAN,-0.11336738,0.6211946,0,0
ACCOPRONE,3.1314094,-0.6938695,-1,-1
ACCOPROOH,-0.56231296,0.8597381,0,0
ACEBUTBONE,3.3444777,-0.351725,-1,-1
ACEBUTONE,3.0374396,-0.6867206,-1,-1
ACEC2CHO,2.735023,-0.45809385,-1,-1
ACEC2H4NO3,2.3068457,-1.1038332,-1,-1
ACEC2H4OOH,-0.46855417,0.861974,0,0
ACECOCOCH3,2.4518585,-0.63132,-1,-1
ACEETOHO,1.7850447,-0.15163036,-1,-1
ACEETOHO2,4.2453275,-1.2324454,-1,-1
ACEETOHOOH,-0.48303336,0.85391533,0,0
ACEPROPONE,3.270584,-0.8053502,-1,-1
ACETC2CO2H,-0.44781014,0.79839325,0,0
ACETC2CO3,0.035796706,0.64728725,0,0
ACETC2CO3H,-0.48869276,0.8689114,0,0
ACETC2H4O,1.3080374,0.2250008,-1,-1
ACETC2H4O2,-0.105066225,0.6768223,0,0
ACETC2PAN,-0.061835345,0.5803722,0,0
ACETCOC2H5,3.0289025,-0.20939386,-1,-1
ACETCOC3H7,3.3790424,-0.25764284,-1,-1
ACETETCHO,2.4665942,-0.28338456,-1,-1
ACETMECO3,-0.04328156,0.68173873,0,0
ACETMECO3H,-0.5261454,0.8752781,0,0
ACETMEPAN,-0.107553616,0.5905191,0,0
ACETOL,-0.13834609,0.73326886,0,0
ACLOO,2.5766523,-1.5971283,-1,-1
ACLOOA,-0.35652828,0.9362323,0,0
ACO2H,-0.34398204,0.9196558,0,0
ACO3,0.35314888,0.42521504,0,0
ACO3H,-0.4147163,0.96914625,0,0
ACOMCOMOOH,-0.5650738,0.875885,0,0
ACPRONEO,1.5816891,-0.5954563,-1,-1
ACPRONEO2,4.130529,-1.3061306,-1,-1
ACPRONEOH,1.1638861,0.3475813,-1,-1
ACPRONEOOH,-0.5569212,0.93275476,0,0
