name,x,y,label,filterlab
A2PAN,-0.32996702,0.13640612,0,
A2PANO,-0.3656917,0.120567285,0,
A2PANOO,-0.34381846,0.1273587,0,
ACBUOAOOH,0.61786354,0.0023257788,1,
ACBUONANO3,0.33176315,0.035768516,2,
ACBUONAOH,1.0321912,-0.18489511,3,
ACBUONBOH,1.0321912,-0.18489511,3,
ACBUONBOOH,0.38649902,0.024566775,2,
ACBUONEAO,1.0571052,-0.19617172,3,
ACBUONEAO2,0.59116405,0.0017055925,1,
ACBUONEBO,1.0571052,-0.19617172,3,
ACBUONEBO2,0.37225154,0.023229768,2,
ACCOC3H6O,1.0571052,-0.19617172,3,
ACCOC3H6O2,0.37225154,0.023229768,2,
ACCOCOC2H5,1.0321912,-0.18489511,3,
ACCOCOEOOH,1.0633402,-0.18346128,3,
ACCOCOETO,1.16321,-0.053649597,4,
ACCOCOETO2,1.0136452,-0.17858629,3,
ACCOCOMEO,0.7778703,0.1219356,5,
ACCOCOMEO2,0.59116405,0.0017055925,1,
ACCOCOMOOH,0.61786354,0.0023257788,1,
ACCOETO,0.37062165,0.019024855,2,
ACCOETO2,0.37225154,0.023229768,2,
ACCOETOOH,0.38649902,0.024566775,2,
ACCOMCOMO,0.7778703,0.1219356,5,
ACCOMCOMO2,1.0473361,0.11572645,6,
ACCOMECHO,0.59878004,-0.0025372747,1,
ACCOMECO3,0.7440698,0.13419616,5,
ACCOMECO3H,0.7778703,0.1219356,5,
ACCOMEPAN,1.0000086,0.12623633,6,
ACCOPRONE,1.4590077,-0.05601061,7,
ACCOPROOH,0.37062165,0.019024855,2,
ACEBUTBONE,1.0321912,-0.18489511,3,
ACEBUTONE,1.0321912,-0.18489511,3,
ACEC2CHO,0.11780688,-0.08046996,8,
ACEC2H4NO3,-0.02963531,-0.051379614,9,
ACEC2H4OOH,-0.009733111,-0.059816726,9,
ACECOCOCH3,1.4590077,-0.05601061,7,
ACEETOHO,-0.020264119,-0.063909,9,
ACEETOHO2,-0.010715455,-0.061490186,9,
ACEETOHOOH,-0.009733111,-0.059816726,9,
ACEPROPONE,1.0321912,-0.18489511,3,
ACETC2CO2H,0.59878004,-0.0025372747,1,
ACETC2CO3,0.59116405,0.0017055925,1,
ACETC2CO3H,0.61786354,0.0023257788,1,
ACETC2H4O,-0.020264119,-0.063909,9,
ACETC2H4O2,-0.010715455,-0.061490186,9,
ACETC2PAN,-0.34946015,0.13149159,0,
ACETCOC2H5,1.0321912,-0.18489511,3,
ACETCOC3H7,1.0321912,-0.18489511,3,
ACETETCHO,0.11780688,-0.08046996,8,
ACETMECO3,0.35541525,0.03084541,2,
ACETMECO3H,0.37062165,0.019024855,2,
ACETMEPAN,-0.34946015,0.13149159,0,
ACETOL,-0.020264119,-0.063909,9,
ACLOO,-0.3786901,-0.14542755,10,
ACLOOA,-0.3786901,-0.14542755,10,
ACO2H,-0.020264119,-0.063909,9,
ACO3,-0.010715455,-0.061490186,9,
ACO3H,-0.009733111,-0.059816726,9,
ACOMCOMOOH,1.0894189,0.117450856,6,
ACPRONEO,1.0571052,-0.19617172,3,
ACPRONEO2,0.59116405,0.0017055925,1,
ACPRONEOH,1.0321912,-0.18489511,3,
ACPRONEOOH,0.61786354,0.0023257788,1,
ACR,-0.3786901,-0.14542755,10,
ACRO2,-0.6893642,0.039987825,11,
ACROO,-0.3786901,-0.14542755,10,
ACROOA,-0.3786901,-0.14542755,10,
ACRPAN,-0.022353351,-0.043711998,9,
ALC4DOLOOH,-0.6939397,0.045957558,11,
ALCOCH2OOH,-0.35929343,0.12619103,0,
ALCOMOXOOH,-0.35929343,0.12619103,0,
ALLYLOH,-0.3786901,-0.14542755,10,
APINANO3,0.38741913,-0.55287164,12,
APINAO,0.41498384,-0.56821126,12,
APINAO2,0.4001803,-0.5476975,12,
APINAOOH,0.40501133,-0.5520638,12,
APINBCO,-0.022071987,-0.33507192,13,
APINBNO3,0.38741913,-0.55287164,12,
APINBO,0.38741913,-0.55287164,12,
APINBO2,0.4001803,-0.5476975,12,
APINBOH,0.38741913,-0.55287164,12,
APINBOO,0.3541889,-0.25264013,14,
APINBOOH,0.40501133,-0.5520638,12,
APINCNO3,0.38195708,-0.53525454,12,
APINCO,0.41498384,-0.56821126,12,
APINCO2,0.3935981,-0.5310487,12,
APINCOH,0.38741913,-0.55287164,12,
APINCOOH,0.39346722,-0.5318349,12,
APINENE,0.38741913,-0.55287164,12,
APINOOA,-0.022071987,-0.33507192,13,
APINOOB,0.3541889,-0.25264013,14,
BCAL,1.0528463,-0.4909857,15,
BCALACO,1.4443288,-0.3863248,16,
BCALAO,1.0784489,-0.5046685,15,
BCALAO2,1.0343604,-0.4853378,15,
BCALAOH,1.0528463,-0.4909857,15,
BCALAOOH,1.0839403,-0.49715072,15,
BCALBCO,0.3541889,-0.25264013,14,
BCALBO,0.3541889,-0.25264013,14,
BCALBO2,0.3628036,-0.24924494,14,
BCALBOC,0.75997055,-0.46414244,17,
BCALBOH,0.3541889,-0.25264013,14,
BCALBOOH,0.3721607,-0.25095326,14,
BCALCCO,1.4443288,-0.3863248,16,
BCALCO,1.0784489,-0.5046685,15,
BCALCO2,1.420356,-0.38127136,16,
BCALCOH,1.0528463,-0.4909857,15,
BCALCOOH,1.4828249,-0.3875869,16,
BCALNO3,1.0528463,-0.4909857,15,
BCALO,1.0784489,-0.5046685,15,
BCALO2,1.0343604,-0.4853378,15,
BCALOH,1.0528463,-0.4909857,15,
BCALOO,1.0528463,-0.4909857,15,
BCALOOA,1.0528463,-0.4909857,15,
BCALOOH,1.0528463,-0.4909857,15,
BCANO3,-0.022071987,-0.33507192,13,
BCAO,0.8388692,-0.79626065,18,
BCAO2,-0.010146558,-0.3315428,13,
BCAOH,0.80967724,-0.779317,18,
BCAOO,0.38741913,-0.55287164,12,
BCAOOH,-0.010778248,-0.33270106,13,
BCARY,0.38741913,-0.55287164,12,
BCBCO,1.1592717,-0.68356484,-1,
BCBNO3,0.38741913,-0.55287164,12,
BCBO,0.8388692,-0.79626065,18,
BCBO2,0.4001803,-0.5476975,12,
BCBOCOO,0.75997055,-0.46414244,17,
BCBOO,1.0528463,-0.4909857,15,
BCBOOA,0.75997055,-0.46414244,17,
BCBOOH,0.40501133,-0.5520638,12,
BCCNO3,-0.37146178,-0.1372416,10,
BCCO,-0.0090321,-0.33275545,13,
BCCO2,-0.010652155,-0.3206721,13,
BCCOH,-0.021813095,-0.32310846,13,
BCCOOH,-0.021813095,-0.32310846,13,
BCKANO3,0.3541889,-0.25264013,14,
BCKAO,0.41498384,-0.56821126,12,
BCKAO2,0.3628036,-0.24924494,14,
BCKAOH,0.38741913,-0.55287164,12,
BCKAOO,0.75997055,-0.46414244,17,
BCKAOOH,0.3721607,-0.25095326,14,
BCKBCO,0.75997055,-0.46414244,17,
BCKBNO3,0.75997055,-0.46414244,17,
BCKBO,0.41498384,-0.56821126,12,
BCKBO2,0.7658502,-0.4608134,17,
BCKBOO,0.7410475,-0.16202834,19,
BCKBOOH,0.78418636,-0.46375206,17,
BCKET,0.75997055,-0.46414244,17,
BCKOOA,0.75997055,-0.46414244,17,
BCKOOB,0.7410475,-0.16202834,19,
BCKSOZ,-0.022071987,-0.33507192,13,
BCKSZOO,-0.022071987,-0.33507192,13,
BCLKACO,1.8356535,-0.24047093,20,
BCLKAO,1.4699047,-0.3978458,16,
