name,x,y,label,filterlab
A2PAN,31.229784,-47.179092,3,3
A2PANO,29.805683,-47.072372,3,3
A2PANOO,30.631525,-47.11526,3,3
ACBUOAOOH,8.889033,-54.156666,2,2
ACBUONANO3,45.748516,12.885495,1,1
ACBUONAOH,60.183865,10.436415,1,1
ACBUONBOH,63.544678,11.6127205,1,1
ACBUONBOOH,36.42741,47.28813,1,1
ACBUONEAO,60.18383,10.436381,1,1
ACBUONEAO2,8.88909,-54.156837,2,2
ACBUONEBO,63.544575,11.612716,1,1
ACBUONEBO2,36.42741,47.28813,1,1
ACCOC3H6O,60.85236,11.207897,1,1
ACCOC3H6O2,40.154533,13.275779,1,1
ACCOCOC2H5,63.27292,11.681061,1,1
ACCOCOEOOH,16.865171,-50.28362,2,2
ACCOCOETO,26.908295,-55.078636,3,3
ACCOCOETO2,16.86515,-50.283916,2,2
ACCOCOMEO,27.04775,-54.863274,3,3
ACCOCOMEO2,-8.228193,-66.04041,2,2
ACCOCOMOOH,-8.228226,-66.04104,2,2
ACCOETO,31.134468,-56.086136,3,3
ACCOETO2,31.100334,-55.855766,3,3
ACCOETOOH,31.100786,-55.855762,3,3
ACCOMCOMO,31.455265,-57.209267,3,3
ACCOMCOMO2,2.524222,-54.99517,2,2
ACCOMECHO,30.912899,-21.87352,3,3
ACCOMECO3,30.688738,-57.1475,3,3
ACCOMECO3H,30.688738,-57.1475,3,3
ACCOMEPAN,24.611753,35.606804,1,1
ACCOPRONE,60.353264,10.78113,1,1
ACCOPROOH,40.158627,13.275032,1,1
ACEBUTBONE,42.63659,24.696156,1,1
ACEBUTONE,45.949802,13.148745,1,1
ACEC2CHO,28.055054,-5.338112,4,4
ACEC2H4NO3,37.7572,-55.4907,3,3
ACEC2H4OOH,37.018257,-56.18509,3,3
ACECOCOCH3,27.251001,-54.48889,3,3
ACEETOHO,32.62501,-54.173557,3,3
ACEETOHO2,32.114773,-54.38288,3,3
ACEETOHOOH,32.114697,-54.382866,3,3
ACEPROPONE,38.07448,-56.813053,3,3
ACETC2CO2H,20.737406,-57.185463,2,2
ACETC2CO3,9.923048,20.429499,4,4
ACETC2CO3H,9.923553,20.429508,4,4
