name,x,y,label,filterlab
A2PAN,-11.800745,-11.970714,0,
A2PANO,-18.93996,29.656689,1,
A2PANOO,-46.89487,-1.7633871,2,
ACBUOAOOH,41.78385,-11.172527,3,
ACBUONANO3,-0.027673822,-26.424139,4,
ACBUONAOH,3.4594798,-37.42087,5,
ACBUONBOH,3.459547,-37.420834,5,
ACBUONBOOH,47.106846,4.4230194,6,
ACBUONEAO,12.765193,-27.264397,7,
ACBUONEAO2,27.252462,-25.751083,8,
ACBUONEBO,12.765232,-27.264399,7,
ACBUONEBO2,25.14647,-19.284082,9,
ACCOC3H6O,12.765193,-27.264397,7,
ACCOC3H6O2,3.4594798,-37.42087,5,
ACCOCOC2H5,14.902771,-29.646076,10,
ACCOCOEOOH,47.106754,4.4228816,6,
ACCOCOETO,12.765286,-27.264383,7,
ACCOCOETO2,25.11437,-19.286364,9,
ACCOCOMEO,12.765085,-27.2645,7,
ACCOCOMEO2,25.093063,-19.175007,9,
ACCOCOMOOH,47.107048,4.423186,6,
ACCOETO,14.900406,-29.649046,10,
ACCOETO2,27.258223,-25.756433,8,
ACCOETOOH,47.10728,4.4231844,6,
ACCOMCOMO,12.763627,-27.265339,7,
ACCOMCOMO2,25.190956,-19.224178,9,
ACCOMECHO,9.162387,-14.751096,-1,
ACCOMECO3,14.642987,-30.952536,10,
ACCOMECO3H,15.665771,-30.477854,10,
ACCOMEPAN,36.045265,10.6583805,11,
ACCOPRONE,14.902728,-29.646517,10,
ACCOPROOH,14.902745,-29.646555,10,
ACEBUTBONE,17.30721,-24.71645,12,
ACEBUTONE,17.307194,-24.716518,12,
ACEC2CHO,17.699064,-21.475475,12,
ACEC2H4NO3,-18.39983,-7.647762,13,
ACEC2H4OOH,31.808025,26.97039,14,
ACECOCOCH3,14.9027195,-29.646471,10,
ACEETOHO,-18.93996,29.656689,1,
ACEETOHO2,-1.0487493,30.870052,15,
ACEETOHOOH,6.4410977,43.48961,16,
ACEPROPONE,-18.475584,-26.859764,17,
ACETC2CO2H,19.970179,-25.592863,12,
ACETC2CO3,23.832615,-21.389381,9,
ACETC2CO3H,37.24761,-12.437052,18,
ACETC2H4O,-28.546547,-9.844981,19,
ACETC2H4O2,-1.0487493,30.870052,15,
ACETC2PAN,17.17713,-20.882095,12,
ACETCOC2H5,14.902725,-29.646635,10,
ACETCOC3H7,14.902771,-29.646076,10,
ACETETCHO,17.69913,-21.475407,12,
ACETMECO3,-33.798306,-12.104651,20,
ACETMECO3H,-31.881792,-6.287948,21,
ACETMEPAN,17.17713,-20.882095,12,
ACETOL,-3.7695937,-39.54737,22,
ACLOO,-37.45242,5.4505467,23,
ACLOOA,-37.45279,5.450801,23,
ACO2H,-3.5871916,-40.114647,22,
ACO3,25.11437,-19.286364,9,
ACO3H,47.61871,9.7025385,24,
ACOMCOMOOH,47.10706,4.4228973,6,
ACPRONEO,9.415383,-26.714989,25,
ACPRONEO2,25.087269,-19.178684,9,
ACPRONEOH,-3.589799,-39.386627,22,
ACPRONEOOH,47.107048,4.423186,6,
ACR,-3.53941,0.30588144,26,
ACRO2,0.89348966,18.199844,27,
ACROO,-27.082983,-17.184792,28,
ACROOA,-27.082983,-17.184792,28,
ACRPAN,-10.309652,-15.087917,0,
ALC4DOLOOH,14.840354,28.689964,29,
ALCOCH2OOH,33.366535,11.861054,30,
ALCOMOXOOH,17.789894,-20.866682,12,
ALLYLOH,-42.35326,6.496247,31,
APINANO3,-41.745205,6.765786,31,
APINAO,-19.928564,29.356144,1,
APINAO2,-1.2455274,30.203714,15,
APINAOOH,6.666859,44.047935,16,
APINBCO,-5.585483,17.401892,32,
APINBNO3,-41.727306,7.896454,31,
APINBO,-43.454044,5.693432,31,
APINBO2,-0.7825435,30.508692,15,
APINBOH,-41.62629,7.65308,31,
APINBOO,-24.5949,-24.369349,33,
APINBOOH,6.2847123,43.87862,16,
APINCNO3,-43.272995,7.451957,31,
APINCO,-19.145355,29.133247,1,
APINCO2,-1.4524525,30.210135,15,
APINCOH,-41.954086,8.180472,31,
APINCOOH,6.2747283,43.651947,16,
APINENE,-27.966953,-9.1611185,19,
APINOOA,-4.095177,0.5386026,26,
APINOOB,-24.595324,-24.369343,33,
BCAL,7.1980405,-10.918963,34,
BCALACO,7.0558696,-10.826771,34,
BCALAO,9.367841,-2.220217,35,
BCALAO2,17.266275,-11.894303,36,
BCALAOH,27.213982,-1.4261026,37,
BCALAOOH,33.367474,11.862351,30,
BCALBCO,7.668546,-11.091484,34,
BCALBO,9.367666,-2.220356,35,
BCALBO2,21.64255,-10.343773,38,
BCALBOC,-4.0985403,0.55401665,26,
BCALBOH,27.092136,-1.5413095,37,
BCALBOOH,33.366535,11.861054,30,
BCALCCO,7.044632,-11.079394,34,
BCALCO,9.3705015,-2.2212312,35,
BCALCO2,17.447403,9.18912,39,
BCALCOH,27.399157,-1.9567698,37,
BCALCOOH,46.087227,9.712019,24,
BCALNO3,19.556509,-3.0310962,40,
BCALO,28.007355,-8.1908655,41,
BCALO2,21.642675,-10.34383,38,
BCALOH,27.117907,-1.5431573,37,
BCALOO,6.994971,-10.881434,34,
BCALOOA,7.043945,-10.795152,34,
BCALOOH,32.102085,4.683336,42,
BCANO3,-41.756157,7.2000847,31,
BCAO,-42.443626,7.607358,31,
BCAO2,-2.219315,30.325434,15,
BCAOH,-41.571514,7.295277,31,
BCAOO,-4.092165,0.7375018,26,
BCAOOH,6.471941,43.47459,16,
BCARY,-28.00152,-9.115565,19,
BCBCO,-3.04238,-39.220596,22,
BCBNO3,-43.010265,9.153359,31,
BCBO,-19.897415,28.801672,1,
BCBO2,-1.9984368,30.902962,15,
BCBOCOO,-4.092165,0.7375018,26,
BCBOO,-24.59539,-24.370272,33,
BCBOOA,-3.9584079,0.3341858,26,
BCBOOH,6.471941,43.47459,16,
BCCNO3,-19.710836,13.188279,43,
BCCO,-19.897415,28.801672,1,
BCCO2,-1.3167963,30.154387,15,
BCCOH,-42.312717,8.524139,31,
BCCOOH,6.666859,44.047935,16,
BCKANO3,-3.5045023,-40.29414,22,
BCKAO,-4.934455,17.326588,32,
BCKAO2,34.493557,-29.038788,44,
BCKAOH,-5.5636272,17.418558,32,
BCKAOO,7.07545,-11.0590315,34,
BCKAOOH,44.195873,-11.820639,45,
BCKBCO,27.362104,-1.9826137,37,
BCKBNO3,-1.8535608,-39.32529,22,
BCKBO,-10.143824,20.471283,46,
BCKBO2,34.531887,-29.069881,44,
BCKBOO,-24.59566,-24.369184,33,
BCKBOOH,44.885696,-11.772313,45,
BCKET,-18.83048,-27.403538,17,
BCKOOA,7.7285566,-11.609418,34,
BCKOOB,-24.59566,-24.369184,33,
BCKSOZ,-4.9817643,17.167013,32,
BCKSZOO,-37.45252,5.450605,23,
BCLKACO,7.734613,-11.080342,34,
BCLKAO,9.370874,-2.2206213,35,
BCLKAO2,17.269056,-11.892592,36,
BCLKAOH,26.502613,-2.0439723,37,
BCLKAOOH,33.320972,11.74611,30,
BCLKBCO,7.660954,-11.06117,34,
BCLKBO,9.371014,-2.2209249,35,
BCLKBO2,21.641367,-10.344947,38,
BCLKBOC,7.673024,-11.02287,34,
BCLKBOH,26.72066,-1.9442328,37,
BCLKBOOH,33.320946,11.743374,30,
BCLKCCO,7.6453495,-11.037193,34,
BCLKCO,9.370994,-2.221106,35,
BCLKCO2,17.358322,8.219726,39,
BCLKCOH,26.502613,-2.0439723,37,
BCLKCOOH,47.042564,9.490675,24,
BCLKET,7.3487844,-10.61964,34,
BCOOA,-4.0920544,0.73789525,26,
BCOOB,-24.595425,-24.369095,33,
BCSOZ,-41.795284,7.969032,31,
BCSOZNO3,-19.880058,12.953522,43,
BCSOZO,-19.5516,28.909405,1,
BCSOZO2,-0.9143541,30.3383,15,
BCSOZOH,-42.33047,8.523504,31,
BCSOZOOH,6.471941,43.47459,16,
BENZAL,-1.4084101,2.1992226,26,
BENZENE,-24.397861,-1.6615685,47,
BIACET,-18.306616,-27.720295,17,
BIACETO,8.564846,-26.862864,25,
BIACETO2,34.486275,-29.028685,44,
BIACETOH,-2.168149,-39.112442,22,
BIACETOOH,45.98673,9.387416,24,
BOCOCH2OOH,31.808025,26.97039,14,
BOX2COMOH,19.969765,-25.593187,12,
BOX2COMOOH,47.10686,4.4229617,6,
BOX2E2OH,-31.461214,17.753479,48,
BOX2ECHO,-3.725897,5.3124824,49,
BOX2EOHAO,-19.58297,29.524538,1,
BOX2EOHAO2,-0.9143572,30.338297,15,
BOX2EOHBO,-22.866089,27.040781,50,
BOX2EOHBO2,-31.461214,17.753479,48,
BOX2MO,-28.227991,-5.454599,21,
BOX2MO2,-5.210014,28.048094,51,
BOX2OHAOOH,7.3817406,43.309837,16,
BOX2OHBOOH,-31.460392,17.750471,48,
BOX2PROL,-31.464779,17.780561,48,
BOXCHO,-3.7260058,5.312047,49,
BOXCOALOOH,14.899871,-29.650507,10,
BOXCOCHO,17.696062,-21.474892,12,
BOXCOCHOO,9.895446,-1.1856393,35,
BOXCOCHOO2,14.900406,-29.649046,10,
BOXCOCOME,17.303572,-24.718355,12,
BOXCOCOMO,12.763627,-27.265339,7,
BOXCOCOMO2,25.087269,-19.178684,9,
BOXCOEOL,19.97147,-25.598867,12,
BOXCOEOLO,17.175247,-41.10518,52,
BOXCOEOLO2,27.25826,-25.75653,8,
BOXCOOLOOH,41.782845,-11.173013,3,
BOXEOHANO3,-25.815882,14.795704,53,
BOXEOHBNO3,-25.819912,14.797847,53,
BOXFORMO2,3.8958375,10.789205,54,
BOXMCO2H,-23.691685,-8.805162,55,
BOXMCO3,-33.539368,-13.230468,20,
BOXMCO3H,-30.572737,-5.4831953,21,
BOXMOH,-31.461214,17.753479,48,
BOXMOOH,30.788591,24.953804,14,
BOXMPAN,-9.807485,-14.184799,0,
BOXOHETOH,-42.44734,7.895915,31,
BOXOHPROL,-42.136566,7.4784203,31,
BOXPOLANO3,-19.946476,12.870417,43,
