name,x,y,label,filterlab
A2PAN,-71.676056,-6.8679175,0,0
A2PANO,42.248398,23.88081,1,1
A2PANOO,27.565601,34.357784,1,1
ACBUOAOOH,13.055129,12.800061,1,1
ACBUONANO3,-58.251793,-12.576547,0,0
ACBUONAOH,6.663077,9.797463,1,1
ACBUONBOH,7.5920844,6.605066,1,1
ACBUONBOOH,14.399046,10.611642,1,1
ACBUONEAO,7.003208,9.789912,1,1
ACBUONEAO2,8.888456,9.7114,1,1
ACBUONEBO,7.995966,7.346776,1,1
ACBUONEBO2,11.468677,9.707337,1,1
ACCOC3H6O,7.003301,9.78983,1,1
ACCOC3H6O2,8.309783,9.924121,1,1
ACCOCOC2H5,7.996622,7.3465915,1,1
ACCOCOEOOH,-2.671433,-5.597723,1,1
ACCOCOETO,6.0559745,-8.966288,1,1
ACCOCOETO2,1.2879794,-4.7298703,1,1
ACCOCOMEO,29.228544,19.093636,1,1
ACCOCOMEO2,26.459034,20.948689,1,1
ACCOCOMOOH,21.568089,22.796232,1,1
ACCOETO,30.105625,21.28581,1,1
ACCOETO2,30.008547,21.998081,1,1
ACCOETOOH,32.270393,26.13247,1,1
ACCOMCOMO,29.452087,19.15561,1,1
ACCOMCOMO2,26.889269,20.76972,1,1
ACCOMECHO,6.5646358,11.049058,1,1
ACCOMECO3,8.533038,12.787311,1,1
ACCOMECO3H,13.320712,14.251636,1,1
ACCOMEPAN,-55.708267,-7.126519,0,0
ACCOPRONE,7.004034,9.789509,1,1
ACCOPROOH,12.895114,12.949686,1,1
ACEBUTBONE,32.993874,16.905571,1,1
ACEBUTONE,52.279747,15.028503,1,1
ACEC2CHO,51.79195,16.383402,1,1
ACEC2H4NO3,-64.598236,-23.662775,0,0
ACEC2H4OOH,32.41715,25.883615,1,1
ACECOCOCH3,6.05567,-8.966556,1,1
ACEETOHO,30.497204,19.969944,1,1
ACEETOHO2,23.417484,22.642628,1,1
ACEETOHOOH,23.130186,23.190847,1,1
ACEPROPONE,32.5446,16.759293,1,1
ACETC2CO2H,50.196877,16.860783,1,1
ACETC2CO3,30.14748,22.326328,1,1
ACETC2CO3H,31.998688,25.694239,1,1
ACETC2H4O,52.328968,17.03699,1,1
ACETC2H4O2,30.495373,22.418447,1,1
ACETC2PAN,-65.06476,-8.2593,0,0
ACETCOC2H5,22.281128,0.26660568,1,1
ACETCOC3H7,23.615154,1.1589895,1,1
ACETETCHO,32.276638,17.619158,1,1
ACETMECO3,25.432858,20.536219,1,1
ACETMECO3H,21.418903,20.355871,1,1
ACETMEPAN,-65.649345,-8.413281,0,0
ACETOL,40.06036,14.344039,1,1
ACLOO,23.792686,27.94577,1,1
ACLOOA,23.792576,27.94636,1,1
ACO2H,16.67771,-21.913532,1,1
ACO3,-2.3169854,0.96383137,1,1
ACO3H,-2.8838494,0.70256925,1,1
ACOMCOMOOH,21.263807,22.819597,1,1
ACPRONEO,6.056507,-8.966376,1,1
ACPRONEO2,1.290072,-4.727385,1,1
ACPRONEOH,6.854728,-9.088017,1,1
ACPRONEOOH,-2.6706886,-5.5960307,1,1
ACR,20.12724,-27.365894,1,1
ACRO2,24.972673,28.672308,1,1
ACROO,0.96104765,4.1388483,1,1
ACROOA,0.9608067,4.1391463,1,1
ACRPAN,-52.805405,-4.126451,0,0
ALC4DOLOOH,27.089231,34.815014,1,1
ALCOCH2OOH,21.81232,24.010944,1,1
ALCOMOXOOH,22.678993,22.245869,1,1
ALLYLOH,26.970985,-28.517624,1,1
APINANO3,-43.062214,-21.559057,0,0
APINAO,-11.718394,26.45507,1,1
APINAO2,-12.953519,25.769966,1,1
APINAOOH,-13.115036,25.548641,1,1
APINBCO,-11.775226,26.75621,1,1
APINBNO3,-43.265568,-21.55077,0,0
APINBO,-11.795333,26.60717,1,1
APINBO2,-13.008814,26.01159,1,1
APINBOH,-11.69191,26.266542,1,1
APINBOO,-5.365708,29.796066,1,1
APINBOOH,-13.131886,25.728813,1,1
APINCNO3,-41.889503,-20.28067,0,0
APINCO,-13.331542,22.575092,1,1
APINCO2,-13.461326,22.558521,1,1
APINCOH,-13.313347,22.608488,1,1
APINCOOH,-13.485499,22.556868,1,1
APINENE,18.065556,-24.09397,1,1
APINOOA,-5.3661494,29.796429,1,1
APINOOB,-5.366191,29.79618,1,1
BCAL,-9.352176,41.317047,1,1
BCALACO,-8.994736,41.461414,1,1
BCALAO,-8.826142,41.689144,1,1
BCALAO2,-6.33392,40.48998,1,1
BCALAOH,-8.749295,42.146194,1,1
BCALAOOH,-5.432407,40.66053,1,1
BCALBCO,-9.031086,41.569775,1,1
BCALBO,-9.04667,43.16403,1,1
BCALBO2,-4.7962093,42.45962,1,1
BCALBOC,-7.869986,41.649185,1,1
BCALBOH,-9.321627,43.941772,1,1
BCALBOOH,-4.2534056,42.6853,1,1
BCALCCO,-8.954023,41.418736,1,1
BCALCO,-8.777898,41.68114,1,1
BCALCO2,-6.3617806,40.516182,1,1
BCALCOH,-8.698887,42.161983,1,1
BCALCOOH,-5.415007,40.6983,1,1
BCALNO3,-51.21748,-24.966845,0,0
BCALO,2.3815084,40.99594,1,1
BCALO2,1.0463722,41.823837,1,1
BCALOH,3.2270913,40.580303,1,1
BCALOO,-6.2691994,36.858727,1,1
BCALOOA,-6.2688584,36.85861,1,1
BCALOOH,0.3177916,42.578793,1,1
BCANO3,-47.095432,-26.163113,0,0
BCAO,-12.999304,37.678173,1,1
BCAO2,-13.991039,37.6797,1,1
BCAOH,-12.998268,37.717316,1,1
BCAOO,-7.909387,39.93757,1,1
BCAOOH,-14.247668,37.700268,1,1
BCARY,-10.829516,39.52865,1,1
BCBCO,-12.878586,37.614807,1,1
BCBNO3,-47.095135,-26.16319,0,0
BCBO,-12.999411,37.677902,1,1
BCBO2,-13.991204,37.679863,1,1
BCBOCOO,-5.459855,36.513752,1,1
BCBOO,-7.909402,39.93813,1,1
BCBOOA,-5.4599433,36.5136,1,1
BCBOOH,-14.247746,37.700214,1,1
BCCNO3,-46.40218,-26.630688,0,0
BCCO,-13.059781,39.08571,1,1
BCCO2,-13.742758,39.25065,1,1
BCCOH,-12.975078,39.02683,1,1
BCCOOH,-13.859764,39.249218,1,1
BCKANO3,-47.147217,-24.741148,0,0
BCKAO,-11.990261,36.126923,1,1
BCKAO2,-12.972543,35.82892,1,1
BCKAOH,-12.0006,36.17911,1,1
BCKAOO,-6.269784,36.858746,1,1
BCKAOOH,-13.213292,35.75615,1,1
BCKBCO,-11.918003,36.123264,1,1
BCKBNO3,-47.147217,-24.741148,0,0
BCKBO,-11.990138,36.126858,1,1
BCKBO2,-12.972418,35.828255,1,1
BCKBOO,-6.269736,36.85924,1,1
BCKBOOH,-13.213385,35.756348,1,1
BCKET,-10.982411,39.19408,1,1
BCKOOA,-6.269739,36.859875,1,1
BCKOOB,-6.2694283,36.853523,1,1
BCKSOZ,-13.60194,41.927074,1,1
BCKSZOO,-13.635896,41.932407,1,1
BCLKACO,-4.085559,34.232243,1,1
BCLKAO,-3.7033112,34.374733,1,1
BCLKAO2,-3.7378705,37.15361,1,1
BCLKAOH,-2.8042824,34.45609,1,1
BCLKAOOH,-3.3102386,38.625957,1,1
BCLKBCO,-4.2095723,34.392803,1,1
BCLKBO,-0.45707443,37.087234,1,1
BCLKBO2,-1.6454786,38.466724,1,1
BCLKBOC,-4.4897585,35.76064,1,1
BCLKBOH,2.3910155,40.937267,1,1
BCLKBOOH,-1.2229656,40.343052,1,1
BCLKCCO,-4.0016875,34.560284,1,1
BCLKCO,-3.6354704,34.800564,1,1
BCLKCO2,-3.875521,37.119995,1,1
BCLKCOH,-2.6611936,34.838547,1,1
BCLKCOOH,-3.3995898,38.695942,1,1
BCLKET,-4.931103,34.238537,1,1
BCOOA,-7.90844,39.937763,1,1
BCOOB,-7.9088597,39.937836,1,1
BCSOZ,-13.298375,41.88882,1,1
BCSOZNO3,-45.640377,-26.742186,0,0
BCSOZO,-14.739598,42.083473,1,1
BCSOZO2,-14.755586,42.08439,1,1
BCSOZOH,-14.800435,42.09973,1,1
BCSOZOOH,-14.821222,42.08989,1,1
BENZAL,14.983682,-28.159658,1,1
BENZENE,15.871431,-29.242025,1,1
BIACET,14.924305,-18.127363,1,1
BIACETO,37.16522,18.801022,1,1
BIACETO2,25.614002,23.016985,1,1
BIACETOH,39.445805,20.130552,1,1
BIACETOOH,20.835604,24.58971,1,1
BOCOCH2OOH,14.984695,29.457788,1,1
BOX2COMOH,58.95493,9.683776,1,1
BOX2COMOOH,21.948345,8.614772,1,1
BOX2E2OH,59.37782,10.19153,1,1
BOX2ECHO,58.99618,7.773895,1,1
BOX2EOHAO,58.899593,10.454631,1,1
BOX2EOHAO2,58.135956,10.510584,1,1
BOX2EOHBO,58.917576,9.677272,1,1
BOX2EOHBO2,57.35855,9.811533,1,1
BOX2MO,58.63937,8.36941,1,1
BOX2MO2,57.77816,8.817569,1,1
BOX2OHAOOH,57.815456,10.422229,1,1
BOX2OHBOOH,56.874767,9.557438,1,1
BOX2PROL,59.264397,7.149036,1,1
BOXCHO,52.61045,13.07726,1,1
BOXCOALOOH,21.995403,8.831927,1,1
BOXCOCHO,53.33595,13.292826,1,1
BOXCOCHOO,23.383219,2.4125896,1,1
BOXCOCHOO2,22.61175,4.557851,1,1
BOXCOCOME,53.422184,14.026016,1,1
BOXCOCOMO,23.441105,2.7548509,1,1
BOXCOCOMO2,23.264513,4.7727,1,1
BOXCOEOL,54.15974,14.150573,1,1
BOXCOEOLO,23.440008,3.144295,1,1
BOXCOEOLO2,23.123228,4.468675,1,1
BOXCOOLOOH,21.81599,9.294893,1,1
BOXEOHANO3,-58.42796,-22.749538,0,0
BOXEOHBNO3,-58.651234,-22.850744,0,0
BOXFORMO2,22.477306,4.3365264,1,1
BOXMCO2H,58.920788,9.317418,1,1
BOXMCO3,56.381992,10.305299,1,1
BOXMCO3H,56.29374,10.317668,1,1
BOXMOH,58.92071,8.57315,1,1
BOXMOOH,57.777905,8.932129,1,1
BOXMPAN,-51.95176,-12.638225,0,0
BOXOHETOH,59.1985,10.341425,1,1
BOXOHPROL,58.55209,12.622325,1,1
BOXPOLANO3,-58.175087,-22.345839,0,0
BOXPOLAOOH,57.730354,11.456319,1,1
BOXPOLBNO3,-56.815723,-17.939867,0,0
BOXPOLBOOH,32.84406,22.79857,1,1
BOXPR2OH,54.511032,14.158732,1,1
BOXPROANO3,-57.93471,-22.143675,0,0
BOXPROBOOH,32.643078,22.95259,1,1
BOXPROLAO,58.358204,12.636719,1,1
BOXPROLAO2,57.93171,12.046574,1,1
BOXPROLBO,54.280037,14.14114,1,1
BOXPROLBO2,32.68192,22.812794,1,1
BOXPRONAO2,57.315178,12.259865,1,1
BOXPRONBO,53.50243,14.0449295,1,1
BOXPRONBO2,31.967371,22.737568,1,1
BOXPRONBOH,54.252846,14.161872,1,1
BOXPRONE,59.309082,7.402579,1,1
BOXPRONEAO,57.447353,13.023544,1,1
BOXPRONOH,58.377308,12.759774,1,1
BOXPROOOH,57.55039,11.619407,1,1
BPINANO3,-44.57548,-25.250437,0,0
BPINAO,-12.124717,32.345833,1,1
BPINAO2,-12.798392,32.924736,1,1
BPINAOH,-12.04636,32.39049,1,1
BPINAOOH,-12.911389,33.094933,1,1
BPINBNO3,-44.419147,-25.065351,0,0
BPINBO,-12.191445,32.183304,1,1
BPINBO2,-12.89179,32.822834,1,1
BPINBOOH,-12.994572,33.066475,1,1
BPINCNO3,-50.866543,-28.536701,0,0
BPINCO,33.554493,5.08305,1,1
BPINCO2,33.129375,5.1149254,1,1
BPINCOH,33.55996,5.078193,1,1
BPINCOOH,33.074654,5.1208997,1,1
BPINENE,12.2569475,-4.3390703,1,1
BRETAL,24.430138,-30.740213,1,1
BRETO2H,27.25334,-33.32196,1,1
BRETO3,-2.8023715,14.45824,1,1
BRETO3H,-2.900749,14.662663,1,1
BRETPAN,-53.98595,-6.7510824,0,0
BU1ENO3O,-68.143265,-16.877249,0,0
BU1ENO3O2,-68.35927,-16.85198,0,0
BU1ENO3OOH,-69.2571,-16.455559,0,0
BUFORMO,23.777136,1.4226216,1,1
BUFORMOOH,22.23351,9.042028,1,1
BUOHFORM,24.588037,0.91618776,1,1
BUOX2ETOH,58.85818,7.570147,1,1
BUT1ENE,20.831911,-26.391544,1,1
BUT2CHO,34.36763,-12.822317,1,1
BUT2CO2H,32.12295,-14.259636,1,1
BUT2CO3,19.632524,3.2462914,1,1
BUT2CO3H,19.641512,3.9305165,1,1
BUT2OL,34.192226,-8.243639,1,1
BUT2OLAO,12.467097,-19.147648,1,1
BUT2OLNO3,-58.69512,-2.0250185,0,0
BUT2OLO,12.678704,-19.284039,1,1
BUT2OLO2,0.65669096,-6.96364,1,1
BUT2OLOH,12.220913,-18.733015,1,1
BUT2OLOOH,-5.0397215,-6.594463,1,1
BUTACID,42.555515,-7.5874147,1,1
BUTAL2NO3,-58.489723,-10.763042,0,0
BUTAL2O,28.489437,-10.483885,1,1
BUTALAO2,15.845109,7.362668,1,1
BUTALAOOH,17.081663,8.714615,1,1
BUTALNO3,-59.493668,-12.540279,0,0
BUTALO,30.71775,-10.938411,1,1
BUTALO2,17.631458,5.841417,1,1
BUTALO2H,18.14681,6.991634,1,1
BUTDANO3,-68.87855,-25.414537,0,0
BUTDAO,44.49506,12.945019,1,1
BUTDAO2,36.020466,35.833797,1,1
BUTDAOH,44.4848,12.948559,1,1
BUTDAOOH,35.902645,35.69975,1,1
BUTDBNO3,-72.491135,-21.658926,0,0
BUTDBO,41.393642,15.357594,1,1
BUTDBO2,24.102825,26.542793,1,1
BUTDBOH,41.47019,15.076694,1,1
BUTDBOOH,24.50324,34.867275,1,1
BUTDCO,41.392,15.357303,1,1
BUTDCO2,23.756693,26.25279,1,1
BUTDCOOH,23.153149,26.593344,1,1
BUTONENO3,-57.329884,-3.2683666,0,0
BZBIPER2OH,-24.180742,12.583213,1,1
BZBIPERNO3,-31.12211,-14.902013,0,0
BZBIPERO,-23.906132,11.985794,1,1
BZBIPERO2,-24.114399,12.188228,1,1
BZBIPEROOH,-24.38587,12.567773,1,1
BZEMUCCO,-7.677503,-37.376747,1,1
BZEMUCCO2H,-7.5084124,-37.947067,1,1
BZEMUCCO3,-6.962349,-40.44919,1,1
BZEMUCCO3H,-6.9311657,-40.948147,1,1
BZEMUCNO3,-42.92462,-8.244495,0,0
BZEMUCO,-7.67769,-37.376823,1,1
BZEMUCO2,-7.1587644,-39.961056,1,1
BZEMUCOH,-8.009539,-36.874737,1,1
BZEMUCOOH,-6.7997866,-42.24117,1,1
BZEMUCPAN,-44.112026,-7.382646,0,0
BZEPOXMUC,-7.6601877,-36.19952,1,1
BZFUCO,-11.288715,-27.16343,1,1
BZFUO,-11.302917,-27.043266,1,1
BZFUO2,-11.951507,-26.34685,1,1
BZFUOH,-10.934804,-26.996368,1,1
BZFUONE,-2.862137,-29.799831,1,1
BZFUONOO,25.440516,21.593246,1,1
BZFUONOOA,25.44044,21.593294,1,1
BZFUOOH,-12.450908,-25.508217,1,1
BZOBIPEROH,-23.78879,11.854245,1,1
C1010NO3,-54.639317,-27.918392,0,0
C1010O,-1.3473098,48.964573,1,1
C1010O2,-0.9886362,48.128098,1,1
C1010OH,-1.5763334,49.03222,1,1
C1010OOH,-0.98026997,47.946266,1,1
C1011CO,-6.8506465,33.83377,1,1
C1011CO2H,-2.053906,35.98448,1,1
C1011CO3,-4.627724,37.131718,1,1
C1011CO3H,-4.423901,38.878265,1,1
C1011NO3,-48.562878,-22.215319,0,0
C1011O,-7.230725,33.936462,1,1
C1011O2,-7.3988576,34.941154,1,1
C1011OH,-9.204987,34.49575,1,1
C1011OOH,-8.366055,35.170174,1,1
C1011PAN,-50.8513,-22.270544,0,0
C1012CO,1.6633306,33.0662,1,1
C1012NO3,-53.451633,-22.209787,0,0
C1012O,1.6095134,33.182304,1,1
C1012O2,-0.08959076,32.93515,1,1
C1012OH,1.3252316,33.60004,1,1
C1012OOH,-0.013938294,31.9395,1,1
C1013CO,-6.7908072,34.75685,1,1
C1013CO2H,-2.6290317,36.31284,1,1
C1013CO3,-4.779662,36.78623,1,1
C1013CO3H,-4.640403,38.72095,1,1
C1013NO3,-48.799408,-22.197958,0,0
C1013O,-7.0181503,34.75028,1,1
C1013O2,-7.0619493,35.263706,1,1
C1013OH,-8.577531,34.781616,1,1
C1013OOH,-8.198789,35.356804,1,1
C1013PAN,-50.765606,-22.139309,0,0
C1014CO,0.005932431,33.57291,1,1
C1014NO3,-53.26937,-22.110586,0,0
C1014O,0.0058182986,33.572983,1,1
C1014O2,-0.23039603,33.123043,1,1
C1014OH,0.37370762,33.833107,1,1
C1014OOH,-0.07167879,32.011196,1,1
C101O,42.090004,-11.084767,1,1
C101O2,38.028034,-3.2730684,1,1
C101OOH,52.193436,-0.7695134,1,1
C102O,47.336933,-9.040943,1,1
C102O2,26.722673,10.414404,1,1
C102OOH,26.769701,11.572496,1,1
C103CO,47.30115,-10.143529,1,1
C103NO3,-54.567783,-16.392643,0,0
C103O,47.717747,-9.6327305,1,1
C103O2,27.08415,10.268658,1,1
C103OH,48.51388,-9.282981,1,1
C103OOH,27.378502,11.795408,1,1
C104O,43.719276,-12.636967,1,1
C104O2,26.295424,5.19256,1,1
C104OH,47.30118,-10.143486,1,1
C104OOH,26.174637,8.86633,1,1
C105O,24.164442,-0.9758983,1,1
C105O2,24.255585,4.841067,1,1
C105OOH,23.183048,7.730085,1,1
C106NO3,-60.12987,-14.169935,0,0
C106O,16.426605,-4.815725,1,1
C106O2,10.83526,2.1537063,1,1
C106OH,16.770756,-3.9344237,1,1
C106OOH,12.422652,1.6803378,1,1
C107O,-8.068395,26.991045,1,1
C107O2,-6.981356,30.392212,1,1
C107OH,-8.375644,26.476555,1,1
C107OOH,-7.15029,30.526121,1,1
C108NO3,-60.394855,-14.090091,0,0
C108O,16.544968,-4.761271,1,1
C108O2,10.663974,2.4290419,1,1
C108OH,17.048075,-4.080453,1,1
C108OOH,12.4907055,1.7978619,1,1
C109CO,-6.6913295,27.177467,1,1
C109O,-0.27499357,37.323338,1,1
C109O2,-1.203406,38.794464,1,1
C109OH,3.3711758,42.7861,1,1
C109OOH,-1.1020739,39.37507,1,1
C10PAN1,-53.921875,-15.347751,0,0
C10PAN2,-50.361965,-20.218176,0,0
C111O,42.090794,-11.08746,1,1
C111O2,38.028233,-3.2738163,1,1
C111OOH,52.19383,-0.7704677,1,1
C112O,47.33901,-9.044744,1,1
C112O2,26.722803,10.415352,1,1
C112OOH,26.76988,11.572318,1,1
C113CO,46.944508,-9.658399,1,1
C113NO3,-54.56068,-16.411314,0,0
C113O,47.339462,-9.044948,1,1
C113O2,26.722975,10.413919,1,1
C113OH,48.37602,-8.981938,1,1
C113OOH,27.140667,11.861617,1,1
C114O,43.56675,-12.330861,1,1
C114O2,26.280924,5.226748,1,1
C114OH,46.94384,-9.657388,1,1
C114OOH,25.999567,8.876954,1,1
C115O,43.96702,-12.018007,1,1
C115O2,25.805338,5.1679244,1,1
C115OOH,25.364914,8.3560095,1,1
C116CHO,-4.820798,33.79489,1,1
C116CO,-4.3623457,32.6852,1,1
C116CO2H,-1.4157574,35.700428,1,1
C116CO3,-4.6307592,37.323505,1,1
C116CO3H,-4.193793,39.411446,1,1
C116NO3,-53.070568,-24.386986,0,0
C116O,0.19626343,36.77844,1,1
C116O2,-1.6728525,38.344006,1,1
C116OH,1.2981813,37.544415,1,1
C116OOH,-1.7765384,40.317165,1,1
C116PAN,-50.781185,-22.131182,0,0
C117NO3,-51.52892,-26.076212,0,0
C117O,1.3859614,39.19347,1,1
C117O2,0.3469712,40.000057,1,1
C117OH,2.1115282,39.78883,1,1
C117OOH,-0.07511302,41.2749,1,1
C118CO,5.6182237,37.608242,1,1
C118NO3,-55.21809,-26.352453,0,0
C118O,5.619463,37.609253,1,1
C118O2,7.601711,38.489605,1,1
C118OH,5.457833,38.49798,1,1
C118OOH,8.023583,40.15105,1,1
C1210CO2,-3.5079308,35.381516,1,1
C1210CO2H,-1.4844308,35.77981,1,1
C1210CO3,-4.625649,37.30551,1,1
C1210CO3H,-4.1891522,39.34829,1,1
C1210NO3,-53.04613,-24.41621,0,0
C1210O,-0.05542755,36.882824,1,1
C1210O2,-1.732978,38.27653,1,1
C1210OH,1.2128514,37.57418,1,1
C1210OOH,-1.8858794,40.306164,1,1
C1210PAN,-50.812195,-22.295807,0,0
C1211CO,-1.4379522,35.767273,1,1
C1211CO2H,-1.3577728,35.79889,1,1
C1211CO3,-4.3697457,38.456135,1,1
C1211CO3H,-3.8765852,39.695015,1,1
C1211NO3,-52.86842,-25.105465,0,0
C1211O,0.47823215,37.96262,1,1
C1211O2,-1.7550021,40.21192,1,1
C1211OH,2.0859425,38.56172,1,1
C1211OOH,-1.7564601,40.516468,1,1
C1211PAN,-50.93961,-22.75385,0,0
C1212NO3,-51.481884,-26.522226,0,0
C1212O,2.0418,39.496155,1,1
C1212O2,0.25232548,40.709564,1,1
C1212OH,2.139784,39.73844,1,1
C1212OOH,-0.059307862,41.251495,1,1
C1213CO,5.340761,38.915287,1,1
C1213NO3,-55.07078,-26.396519,0,0
C1213O,5.340719,38.915077,1,1
C1213O2,7.245039,39.75172,1,1
C1213OH,5.3403606,38.914677,1,1
C1213OOH,7.857439,40.254364,1,1
C1214O,1.4149367,39.19903,1,1
C1214O2,0.3086915,40.030273,1,1
C1214OH,2.2310839,39.893948,1,1
C1214OOH,-0.07019131,41.26086,1,1
C1215CO,5.8773966,37.56736,1,1
C1215NO3,-55.160824,-26.295307,0,0
C1215O,5.876994,37.56702,1,1
C1215O2,7.6868315,38.38393,1,1
C1215OH,5.584195,38.855576,1,1
C1215OOH,8.018932,40.2354,1,1
C121O,42.09115,-11.087692,1,1
C121O2,38.028812,-3.2744522,1,1
C121OOH,52.195023,-0.7709161,1,1
C122O,47.339504,-9.045178,1,1
C122O2,26.722187,10.415597,1,1
C122OOH,26.769915,11.572448,1,1
C123CO,46.94338,-9.659025,1,1
C123NO3,-54.55857,-16.411602,0,0
C123O,47.339535,-9.0453005,1,1
C123O2,26.722872,10.415755,1,1
