name,x,y,label,filterlab
A2PAN,30.697844,-34.374477,3,3
A2PANO,-30.376167,-27.138414,4,4
A2PANOO,-9.302126,-31.487284,4,4
ACBUOAOOH,3.1653726,-19.514921,4,4
ACBUONANO3,30.206228,-24.82494,3,3
ACBUONAOH,-19.840933,-5.169721,4,4
ACBUONBOH,-19.840992,-5.169244,4,4
ACBUONBOOH,3.1654058,-19.515232,4,4
ACBUONEAO,-21.434483,-4.8648114,4,4
ACBUONEAO2,4.379357,-19.641542,4,4
ACBUONEBO,-21.434532,-4.8649044,4,4
ACBUONEBO2,4.379563,-19.641155,4,4
ACCOC3H6O,-22.18851,-5.0846524,4,4
ACCOC3H6O2,4.5593987,-19.569069,4,4
ACCOCOC2H5,-23.190527,-4.0817084,4,4
ACCOCOEOOH,13.423096,-17.192038,2,2
ACCOCOETO,7.823753,-18.538969,2,2
ACCOCOETO2,13.583686,-17.66148,2,2
ACCOCOMEO,4.1334686,-23.93585,4,4
ACCOCOMEO2,11.204925,-20.90157,3,3
ACCOCOMOOH,11.320478,-21.339289,3,3
ACCOETO,-25.07873,-20.610931,4,4
ACCOETO2,-3.1827633,-29.814394,4,4
ACCOETOOH,-3.7572377,-29.084787,4,4
ACCOMCOMO,5.059077,-20.933245,4,4
ACCOMCOMO2,12.948145,-20.105246,3,3
ACCOMECHO,-26.298206,-20.193226,4,4
ACCOMECO3,11.007218,-20.886152,3,3
ACCOMECO3H,11.047482,-21.214472,3,3
ACCOMEPAN,37.658596,-21.646072,3,3
ACCOPRONE,-23.190159,-4.0817227,4,4
ACCOPROOH,3.5693345,-19.239124,4,4
ACEBUTBONE,-29.615587,15.919816,6,6
ACEBUTONE,-29.617136,15.920816,6,6
ACEC2CHO,-42.8283,1.0000631,6,6
ACEC2H4NO3,16.225464,-35.1327,3,3
ACEC2H4OOH,-23.870893,-31.47226,4,4
ACECOCOCH3,-25.19801,-4.8144913,4,4
ACEETOHO,-27.485186,-24.580208,4,4
ACEETOHO2,-6.5836487,-29.724216,4,4
ACEETOHOOH,-7.0018463,-28.236298,4,4
ACEPROPONE,-46.645355,18.76781,6,6
ACETC2CO2H,-23.89178,-21.758175,4,4
ACETC2CO3,-3.1823287,-29.814413,4,4
ACETC2CO3H,-3.7574859,-29.084696,4,4
ACETC2H4O,-49.833553,2.4241405,6,6
ACETC2H4O2,-23.767324,-32.389626,4,4
ACETC2PAN,33.575752,-22.981358,3,3
ACETCOC2H5,-46.931145,19.192598,6,6
ACETCOC3H7,-29.866907,16.452684,6,6
ACETETCHO,-51.531357,2.5359726,6,6
