name,x,y,label,filterlab
A2PAN,-20.821684,12.524533,0,
A2PANO,-27.367483,22.261784,1,
A2PANOO,-11.46583,-4.3015985,2,
ACBUOAOOH,0.00944747,20.702143,3,
ACBUONANO3,-12.145638,10.899025,0,
ACBUONAOH,15.886998,19.020508,4,
ACBUONBOH,15.493139,19.14002,4,
ACBUONBOOH,-4.42513,20.244287,0,
ACBUONEAO,20.408773,19.02979,4,
ACBUONEAO2,1.8281442,11.037843,3,
ACBUONEBO,20.408802,19.029829,4,
ACBUONEBO2,-4.811064,3.9735987,5,
ACCOC3H6O,20.408798,19.029793,4,
ACCOC3H6O2,-4.809608,3.9740534,5,
ACCOCOC2H5,15.593106,18.870035,4,
ACCOCOEOOH,11.927064,17.001438,4,
ACCOCOETO,22.939455,17.568865,4,
ACCOCOETO2,5.467316,9.0533285,6,
ACCOCOMEO,-4.270598,13.659398,7,
ACCOCOMEO2,1.8278748,11.037589,3,
ACCOCOMOOH,0.010172859,20.704433,3,
ACCOETO,-7.206037,14.869118,0,
ACCOETO2,-4.809647,3.9727943,5,
ACCOETOOH,-4.425786,20.243855,0,
ACCOMCOMO,-4.2706547,13.659084,7,
ACCOMCOMO2,2.7453394,13.247976,3,
ACCOMECHO,4.0613565,20.147354,3,
ACCOMECO3,-4.6826177,-0.43262178,5,
ACCOMECO3H,-4.270357,13.658889,7,
ACCOMEPAN,3.626175,16.008175,3,
ACCOPRONE,13.092707,13.058807,4,
ACCOPROOH,-7.8057766,15.417261,0,
ACEBUTBONE,15.842912,18.91682,4,
ACEBUTONE,15.886998,19.020508,4,
ACEC2CHO,-3.5673935,38.53644,8,
ACEC2H4NO3,-18.444466,6.0283856,0,
ACEC2H4OOH,-6.734688,29.72819,9,
ACECOCOCH3,13.094527,13.067144,4,
ACEETOHO,-3.0044131,48.507805,10,
ACEETOHO2,-10.1620655,-12.464546,11,
ACEETOHOOH,-6.9860663,29.075842,9,
ACEPROPONE,15.493139,19.14002,4,
ACETC2CO2H,4.1907773,20.02731,3,
ACETC2CO3,1.8289173,11.040533,3,
ACETC2CO3H,0.008810111,20.703924,3,
ACETC2H4O,-4.8420672,47.23893,10,
ACETC2H4O2,-10.898277,-12.761877,11,
ACETC2PAN,-23.646961,14.277313,0,
ACETCOC2H5,15.728066,19.231895,4,
ACETCOC3H7,15.72496,19.236204,4,
ACETETCHO,-3.5684922,38.5394,8,
ACETMECO3,-5.7920685,-1.0321232,5,
ACETMECO3H,-7.2908316,14.787113,0,
ACETMEPAN,-23.646873,14.278416,0,
ACETOL,-4.567078,46.7796,10,
ACLOO,-58.95291,2.6614997,12,
ACLOOA,-57.122814,1.5696869,12,
ACO2H,-4.5179315,46.78622,10,
ACO3,-10.874931,-12.718862,11,
ACO3H,-7.3423996,29.550701,9,
ACOMCOMOOH,0.25800893,18.089743,3,
ACPRONEO,20.408798,19.029793,4,
ACPRONEO2,1.8265244,11.039488,3,
ACPRONEOH,15.886998,19.020508,4,
ACPRONEOOH,0.008140039,20.703176,3,
ACR,-58.95291,2.6614997,12,
ACRO2,-36.352406,-15.464251,13,
ACROO,-58.95291,2.6614997,12,
ACROOA,-58.95291,2.6614997,12,
ACRPAN,-18.698256,10.448564,0,
ALC4DOLOOH,-39.2819,-6.8147426,14,
ALCOCH2OOH,-30.789425,15.393531,15,
ALCOMOXOOH,-30.751356,15.378563,15,
ALLYLOH,-58.95291,2.6614997,12,
APINANO3,29.566397,-24.665462,16,
APINAO,36.073284,-21.858616,17,
APINAO2,20.253284,-26.522211,18,
APINAOOH,25.57588,-19.564465,19,
APINBCO,21.270037,-45.077473,20,
APINBNO3,28.391829,-25.398691,16,
APINBO,29.583122,-25.0139,16,
