name,x,y,label,filterlab
A2PAN,-56.266174,7.670035,0,
A2PANO,-21.407272,-37.99057,1,
A2PANOO,-22.195005,-38.48101,1,
ACBUOAOOH,-3.1994042,51.89527,2,
ACBUONANO3,-53.10141,14.403339,0,
ACBUONAOH,-5.1373973,48.133823,2,
ACBUONBOH,-5.0529623,47.81003,2,
ACBUONBOOH,-3.1994042,51.89527,2,
ACBUONEAO,-35.672962,-35.268467,3,
ACBUONEAO2,-34.8525,-31.582748,3,
ACBUONEBO,-35.35916,-35.594963,3,
ACBUONEBO2,-34.855137,-31.574125,3,
ACCOC3H6O,-35.677155,-35.154057,3,
ACCOC3H6O2,-34.856964,-31.582842,3,
ACCOCOC2H5,-18.184595,36.190693,2,
ACCOCOEOOH,-5.018353,54.298084,2,
ACCOCOETO,-40.79294,-33.40702,3,
ACCOCOETO2,-40.04319,-31.543873,3,
ACCOCOMEO,-32.389153,-29.299046,3,
ACCOCOMEO2,-32.248013,-28.171919,3,
ACCOCOMOOH,-25.741434,34.630363,2,
ACCOETO,-25.752913,-30.070728,3,
ACCOETO2,-25.04504,-28.27657,3,
ACCOETOOH,-24.584618,31.733982,2,
ACCOMCOMO,-31.944496,-31.098064,3,
ACCOMCOMO2,-31.817314,-28.993362,3,
ACCOMECHO,-20.239794,30.010653,2,
ACCOMECO3,-32.24801,-28.171936,3,
ACCOMECO3H,-25.741434,34.630363,2,
ACCOMEPAN,-57.366478,10.22285,0,
ACCOPRONE,-18.184597,36.19069,2,
ACCOPROOH,-3.1994042,51.89527,2,
ACEBUTBONE,-14.837933,41.03957,2,
ACEBUTONE,-14.839498,41.040176,2,
ACEC2CHO,-15.4014015,23.232832,2,
ACEC2H4NO3,-61.3735,14.745122,0,
ACEC2H4OOH,-16.017033,16.957949,2,
ACECOCOCH3,-20.38314,35.747414,2,
ACEETOHO,-19.944534,-38.914253,1,
ACEETOHO2,-21.574196,-39.20222,1,
ACEETOHOOH,7.9730773,48.833138,2,
ACEPROPONE,-18.035892,40.22365,2,
ACETC2CO2H,-22.624844,33.104805,2,
ACETC2CO3,-25.04507,-28.27656,3,
ACETC2CO3H,-24.584461,31.733982,2,
ACETC2H4O,-14.3875065,-28.263296,1,
ACETC2H4O2,-14.489231,-26.15327,1,
ACETC2PAN,-58.85467,11.588157,0,
ACETCOC2H5,-17.966328,40.393723,2,
ACETCOC3H7,-14.839498,41.040176,2,
ACETETCHO,-17.688108,23.479725,2,
ACETMECO3,-25.531696,-26.49056,3,
ACETMECO3H,-26.25926,32.147903,2,
ACETMEPAN,-58.410618,9.853466,0,
ACETOL,-12.356858,20.3127,2,
ACLOO,7.6714234,-7.8978505,4,
ACLOOA,7.6714234,-7.8978505,4,
ACO2H,-17.677671,25.279982,2,
ACO3,-19.766579,-26.34666,1,
ACO3H,-20.22604,23.242802,2,
ACOMCOMOOH,-24.774601,34.403503,2,
ACPRONEO,-36.97129,-32.1469,3,
ACPRONEO2,-35.459923,-29.371647,3,
ACPRONEOH,-5.454633,51.58336,2,
ACPRONEOOH,-3.3263013,54.11082,2,
ACR,-9.94836,14.345435,2,
ACRO2,-16.278635,-24.753906,1,
ACROO,7.0413036,-7.421253,4,
ACROOA,7.0413036,-7.421253,4,
ACRPAN,-60.350754,11.3356085,0,
ALC4DOLOOH,7.227945,46.0942,2,
ALCOCH2OOH,-20.689096,21.037878,2,
ALCOMOXOOH,-20.845442,19.908375,2,
ALLYLOH,-9.256617,13.498866,2,
APINANO3,25.398335,-45.860477,11,
APINAO,27.212988,-34.03429,5,
APINAO2,27.519423,-34.51097,5,
APINAOOH,23.985022,-35.845535,5,
APINBCO,23.554234,-35.419056,5,
