name,x,y,label,filterlab
A2PAN,-7.345969,-10.420449,7,7
A2PANO,-7.2701283,-10.3958845,7,7
A2PANOO,-7.1833353,-10.3461485,7,7
ACBUOAOOH,38.016083,-18.714825,2,2
ACBUONANO3,39.06731,-18.431974,2,2
ACBUONAOH,38.148067,-18.474873,2,2
ACBUONBOH,38.194073,-17.390076,2,2
ACBUONBOOH,38.186954,-17.366085,2,2
ACBUONEAO,37.316315,-18.238579,2,2
ACBUONEAO2,37.17513,-18.193832,2,2
ACBUONEBO,37.228333,-17.313202,2,2
ACBUONEBO2,37.080273,-17.33168,2,2
ACCOC3H6O,-11.898201,49.04378,3,3
ACCOC3H6O2,-11.914103,49.058712,3,3
ACCOCOC2H5,-25.284481,22.456089,7,7
ACCOCOEOOH,17.133114,15.331947,2,2
ACCOCOETO,25.105135,0.14097208,2,2
ACCOCOETO2,25.14453,0.526512,2,2
ACCOCOMEO,16.859772,15.725534,2,2
ACCOCOMEO2,16.873735,15.819405,2,2
ACCOCOMOOH,16.85847,17.132069,6,6
ACCOETO,25.014582,-0.22153205,2,2
ACCOETO2,25.103094,0.4399575,2,2
ACCOETOOH,25.397345,-0.29795077,2,2
ACCOMCOMO,16.8139,17.244953,6,6
ACCOMCOMO2,16.776237,17.246618,6,6
ACCOMECHO,16.744993,15.470785,2,2
ACCOMECO3,16.436897,15.543771,2,2
ACCOMECO3H,16.406527,15.442437,2,2
ACCOMEPAN,17.222464,-1.483326,2,2
ACCOPRONE,19.647041,-15.091841,2,2
ACCOPROOH,17.138882,-16.967247,2,2
ACEBUTBONE,35.453285,-17.153538,2,2
ACEBUTONE,35.08825,-17.095291,2,2
ACEC2CHO,16.359587,14.540546,2,2
ACEC2H4NO3,6.169885,11.589489,2,2
ACEC2H4OOH,5.3023663,11.234211,2,2
ACECOCOCH3,16.280472,15.061046,2,2
ACEETOHO,28.069695,-3.9274712,2,2
ACEETOHO2,28.098267,-3.911465,2,2
ACEETOHOOH,28.290709,-4.414374,2,2
ACEPROPONE,19.87792,-14.387517,2,2
ACETC2CO2H,25.57579,1.6503912,2,2
ACETC2CO3,25.571478,1.1720921,2,2
ACETC2CO3H,25.693102,1.3052679,2,2
ACETC2H4O,26.331497,2.4600677,2,2
ACETC2H4O2,26.328978,2.5083477,2,2
ACETC2PAN,19.668219,-1.0820547,2,2
ACETCOC2H5,25.396187,1.6439815,2,2
ACETCOC3H7,26.206478,1.2953054,2,2
ACETETCHO,26.305803,-3.6968513,2,2
ACETMECO3,26.621975,-1.802475,2,2
ACETMECO3H,26.826735,-1.8987082,2,2
ACETMEPAN,17.915323,-1.6611414,2,2
ACETOL,27.728048,0.061044145,2,2
ACLOO,25.51102,16.440842,6,6
ACLOOA,25.611403,16.290928,6,6
ACO2H,14.855772,21.260874,6,6
ACO3,12.708658,19.00306,6,6
ACO3H,12.768575,19.125687,6,6
ACOMCOMOOH,16.888548,17.464325,6,6
ACPRONEO,19.704706,-15.134888,2,2
ACPRONEO2,19.78687,-15.094135,2,2
ACPRONEOH,19.56448,-15.388431,2,2
ACPRONEOOH,19.632463,-15.513427,2,2
ACR,15.35265,-15.416781,2,2
ACRO2,15.302533,-15.402624,2,2
ACROO,15.705446,-15.383131,2,2
ACROOA,15.973869,-15.346364,2,2
ACRPAN,17.83187,-15.352003,2,2
ALC4DOLOOH,-7.860839,-21.751932,1,1
ALCOCH2OOH,11.916621,40.046093,6,6
ALCOMOXOOH,35.486534,12.942767,2,2
ALLYLOH,64.72437,-19.10917,0,0
APINANO3,-4.0057645,-12.548325,2,2
APINAO,-5.158511,-12.463652,2,2
APINAO2,-5.299188,-12.485388,2,2
APINAOOH,-4.988493,-12.104145,2,2
APINBCO,-1.211887,-15.837895,2,2
APINBNO3,-1.0472565,-14.199458,2,2
APINBO,-1.28098,-15.649065,2,2
APINBO2,-0.8800764,-15.886684,2,2
APINBOH,-1.7943614,-15.552202,2,2
APINBOO,-1.3331755,-15.676565,2,2
APINBOOH,-1.7793444,-15.516891,2,2
APINCNO3,-2.318448,-12.337463,2,2
APINCO,-3.983305,-13.22987,2,2
APINCO2,-4.1509886,-13.434988,2,2
APINCOH,-4.2568493,-11.512449,2,2
APINCOOH,-4.162769,-11.5708275,2,2
APINENE,6.4801416,-9.966369,2,2
APINOOA,-5.1349955,-12.371991,2,2
APINOOB,-1.3331532,-15.676529,2,2
BCAL,26.236824,14.280059,2,2
BCALACO,26.12761,15.259509,2,2
BCALAO,26.13969,15.4111,2,2
BCALAO2,25.823954,15.272218,2,2
BCALAOH,26.49144,15.444039,2,2
BCALAOOH,26.569916,15.437787,2,2
BCALBCO,26.941566,13.587494,2,2
BCALBO,27.01525,13.512037,2,2
BCALBO2,26.882772,13.360031,2,2
BCALBOC,26.941563,13.587529,2,2
BCALBOH,27.205223,13.720473,2,2
BCALBOOH,27.322565,13.778368,2,2
BCALCCO,26.190048,14.476625,2,2
BCALCO,26.333149,14.414931,2,2
BCALCO2,25.784185,14.459161,2,2
BCALCOH,26.873678,14.642975,2,2
BCALCOOH,27.021374,14.709922,2,2
BCALNO3,25.396845,13.077489,2,2
BCALO,26.384565,14.374028,2,2
BCALO2,25.758722,14.428514,2,2
BCALOH,26.922964,14.614293,2,2
BCALOO,26.58019,14.507886,2,2
BCALOOA,26.208496,15.461725,2,2
BCALOOH,27.07957,14.688649,2,2
BCANO3,25.914804,11.439805,2,2
BCAO,28.495638,13.170752,2,2
BCAO2,28.30047,12.984533,2,2
BCAOH,28.601995,13.607611,2,2
BCAOO,28.725885,13.126094,2,2
BCAOOH,28.767492,13.505574,2,2
BCARY,14.295426,-15.988879,2,2
BCBCO,29.227093,10.068529,2,2
BCBNO3,29.819084,8.448801,2,2
BCBO,29.64002,9.975109,2,2
BCBO2,29.509596,9.796199,2,2
BCBOCOO,29.396069,10.172381,2,2
BCBOO,29.722425,10.01996,2,2
BCBOOA,28.6485,12.37841,2,2
BCBOOH,29.6465,10.03151,2,2
BCCNO3,29.26059,7.8707986,2,2
BCCO,28.476957,10.070808,2,2
BCCO2,28.286146,9.761829,2,2
BCCOH,28.033005,10.105029,2,2
BCCOOH,28.016842,10.073914,2,2
BCKANO3,56.12813,9.920642,0,0
BCKAO,56.67611,10.123447,0,0
BCKAO2,56.70816,9.736763,0,0
BCKAOH,56.729843,10.075639,0,0
BCKAOO,56.66584,10.116134,0,0
BCKAOOH,56.69585,10.058151,0,0
BCKBCO,55.262665,11.472649,0,0
BCKBNO3,54.711136,10.983816,0,0
BCKBO,55.25701,11.254123,0,0
BCKBO2,55.31495,10.887148,0,0
BCKBOO,55.239395,11.220922,0,0
BCKBOOH,55.252834,11.118362,0,0
BCKET,59.305637,8.5529585,0,0
BCKOOA,56.66584,10.116134,0,0
BCKOOB,55.239395,11.220922,0,0
BCKSOZ,37.553062,30.557077,6,6
BCKSZOO,37.52993,30.56956,6,6
BCLKACO,57.33446,11.498776,0,0
BCLKAO,57.43949,11.266965,0,0
BCLKAO2,57.4425,11.1855345,0,0
BCLKAOH,57.428196,11.229672,0,0
BCLKAOOH,57.41181,11.168308,0,0
BCLKBCO,56.229206,12.174997,0,0
BCLKBO,56.126564,11.990926,0,0
BCLKBO2,56.10452,11.91957,0,0
BCLKBOC,56.229206,12.174997,0,0
BCLKBOH,56.17655,11.977454,0,0
BCLKBOOH,56.170185,11.906513,0,0
BCLKCCO,57.066383,12.616731,0,0
BCLKCO,57.124645,12.327222,0,0
BCLKCO2,57.1442,12.395014,0,0
BCLKCOH,57.14235,12.343633,0,0
BCLKCOOH,57.153294,12.322715,0,0
BCLKET,59.478706,8.796906,0,0
BCOOA,28.725897,13.126116,2,2
BCOOB,29.722397,10.019851,2,2
BCSOZ,37.08535,30.834394,6,6
BCSOZNO3,37.015083,30.881622,6,6
BCSOZO,37.069546,30.840252,6,6
BCSOZO2,37.046654,30.854544,6,6
